#  source            novbest   vbest  veldev        Thu Jun 19 01:20:25 2014
  AGAL000.874-00.012       0   80.65   -1.00
  AGAL000.883+00.166       0   90.57    2.03
  AGAL000.891+00.142       0   77.16    1.90
  AGAL000.904+00.114       0   78.14    0.20
  AGAL000.918-00.326       1 -999.00   -1.00
  AGAL000.923-00.306       0   44.26   -1.00
  AGAL000.928-00.337       0   26.34   -1.00
  AGAL000.934-00.327       0  -37.87   -1.00
  AGAL000.946-00.316       0  -38.77   -1.00
  AGAL000.969-00.336       1 -999.00   -1.00
  AGAL001.008-00.239       0  113.73    0.10
  AGAL001.036-00.076       0  -17.09   -1.00
  AGAL001.049-00.069       0  117.63    1.42
  AGAL001.063-00.077       0  -17.05    0.84
  AGAL001.126-00.107       0  -15.62    0.23
  AGAL001.148-00.126       0  -16.79    1.36
  AGAL001.181-00.406       0   48.58    1.13
  AGAL001.199+00.076       0  101.53   -1.00
  AGAL001.224+00.059       0  103.36    1.38
  AGAL001.264-00.149       0   91.03    1.57
  AGAL001.266+00.056       0   95.37   -1.00
  AGAL001.271-00.474       0   59.34   -1.00
  AGAL001.278-00.151       0   89.71    1.92
  AGAL001.283-00.122       0   81.17   -1.00
  AGAL001.289+00.034       0   99.89    2.08
  AGAL001.303-00.062       0   80.97    3.08
  AGAL001.318-00.142       0   38.95   -1.00
  AGAL001.318+00.266       0   99.28   -1.00
  AGAL001.321-00.071       0   79.71    3.44
  AGAL001.326-00.152       0   79.94   -1.00
  AGAL001.334+00.096       0   85.18    0.86
  AGAL001.338-00.131       0   33.10    0.25
  AGAL001.343-00.082       0   59.29    0.79
  AGAL001.346+00.257       0  102.93    0.61
  AGAL001.359+00.101       0   77.56   -1.00
  AGAL001.359+00.127       0  112.78   -1.00
  AGAL001.361+00.216       0  102.06    0.47
  AGAL001.381+00.199       0   92.55   -1.00
  AGAL001.381-00.211       1 -999.00   -1.00
  AGAL001.394-00.232       0  -82.08    1.41
  AGAL001.419-00.237       0   99.71   -1.00
  AGAL001.429-00.211       0   19.11   -1.00
  AGAL001.436-00.224       0   50.83   -1.00
  AGAL001.446+00.067       0  100.45    3.38
  AGAL001.474+00.041       0   93.02   -1.00
  AGAL001.489-00.199       0   56.09    3.17
  AGAL001.494+00.167       0   79.92    3.12
  AGAL001.508-00.247       0   52.17   -1.00
  AGAL001.514+00.147       0   79.55    1.39
  AGAL001.518-00.196       0   48.71   -1.00
  AGAL001.522-00.114       0   58.61    2.72
  AGAL001.524-00.249       0   52.51    2.22
  AGAL001.539-00.206       0   42.43   -1.00
  AGAL001.544-00.274       0  -10.78   -1.00
  AGAL001.597+00.026       0   67.09    2.44
  AGAL001.597+00.041       0   66.51    1.11
  AGAL001.612-00.166       0   42.89   -1.00
  AGAL001.639-00.189       0   41.60   -1.00
  AGAL001.642-00.034       0   58.42    1.12
  AGAL001.647-00.062       0   55.53    2.46
  AGAL001.662-00.174       0   38.85   -1.00
  AGAL001.662-00.196       0   43.71    1.61
  AGAL001.666-00.139       0   50.27    3.13
  AGAL001.671-00.071       0   51.62    0.96
  AGAL001.674-00.127       0   49.37   -1.00
  AGAL001.681-00.346       0  -28.75    2.63
  AGAL001.684-00.379       0  -26.96    2.23
  AGAL001.692-00.171       0   44.38   -1.00
  AGAL001.694-00.384       0  -26.31    0.45
  AGAL001.696-00.142       0   47.31    3.31
  AGAL001.699-00.366       0  -24.77    2.80
  AGAL001.716-00.056       0   49.37   -1.00
  AGAL001.717-00.087       0   48.78    2.18
  AGAL001.717-00.336       0    7.12   -1.00
  AGAL001.734-00.409       0  -36.03   -1.00
  AGAL001.736-00.076       0   48.00   -1.00
  AGAL001.749-00.102       0   47.52    3.19
  AGAL001.759-00.086       0   53.35   -1.00
  AGAL001.787-00.114       0   37.25   -1.00
  AGAL001.796-00.126       0   38.74   -1.00
  AGAL001.796-00.147       0   29.35    0.83
  AGAL001.814-00.114       0   45.32    2.17
  AGAL001.866-00.152       1 -999.00   -1.00
  AGAL001.879-00.059       0   36.79    0.66
  AGAL001.879-00.152       0  -41.33    0.22
  AGAL001.881-00.036       0  121.98   -1.00
  AGAL001.891-00.071       0   38.25    1.22
  AGAL001.896-00.184       0   41.18   -1.00
  AGAL001.904-00.166       0   46.03    1.12
  AGAL001.907-00.059       0   39.54   -1.00
  AGAL002.084-00.571       0   -1.36    0.64
  AGAL002.102-00.572       0   -1.95    0.21
  AGAL002.142+00.009       0   60.34    0.18
  AGAL002.154+00.036       0   16.81    0.36
  AGAL002.402+00.067       0    9.86   -1.00
  AGAL002.444+00.127       0    9.87    0.25
  AGAL002.444-00.546       0   10.07    0.05
  AGAL002.497-00.682       0   -0.79    0.08
  AGAL002.499-00.054       0    9.74   -1.00
  AGAL002.502-00.046       0   11.88   -1.00
  AGAL002.502-00.646       0   -0.42   -1.00
  AGAL002.506-00.679       0   -0.41    0.37
  AGAL002.509+00.516       0  155.71   -1.00
  AGAL002.517-00.661       1 -999.00   -1.00
  AGAL002.534+00.199       0    9.41    1.57
  AGAL002.592-00.182       0   12.72    0.29
  AGAL002.616+00.134       0   97.34    0.16
  AGAL002.622+00.237       0    6.73    0.31
  AGAL002.632+00.156       0   12.05    0.59
  AGAL002.644+00.177       1 -999.00   -1.00
  AGAL002.649+01.014       0   10.33    0.17
  AGAL002.691+00.044       0   96.25    0.32
  AGAL002.704+00.041       0   96.39    0.28
  AGAL002.866+00.067       0   99.85    2.05
  AGAL002.899+00.066       0  105.61    2.18
  AGAL002.916-00.187       0   99.17   -1.00
  AGAL002.927-00.201       1 -999.00   -1.00
  AGAL002.939+00.131       0  145.56   -1.00
  AGAL002.951-00.194       0   94.86    1.40
  AGAL002.961-00.194       0   95.05    1.86
  AGAL002.984+00.011       0   62.85    0.12
  AGAL002.984+00.161       0  154.88   -1.00
  AGAL002.997+00.161       0  130.65   -1.00
  AGAL003.016+00.141       0  151.10   -1.00
  AGAL003.021-00.067       0   -9.25    2.95
  AGAL003.029-00.072       0   -5.89    1.42
  AGAL003.034+00.402       0   25.52   -1.00
  AGAL003.038-00.057       0   -4.05    1.86
  AGAL003.039+00.144       0   97.22   -1.00
  AGAL003.049-00.047       0   -4.49    0.36
  AGAL003.049+00.392       1 -999.00   -1.00
  AGAL003.056+00.151       0  158.95   -1.00
  AGAL003.059-00.077       0   -3.50    1.95
  AGAL003.093+00.167       0  154.18   -1.00
  AGAL003.093+00.422       0    8.27   -1.00
  AGAL003.101+00.294       0   24.41   -1.00
  AGAL003.121+00.306       0  108.15   -1.00
  AGAL003.121+00.416       0   15.15    1.01
  AGAL003.131+00.426       0    5.85    0.43
  AGAL003.134+00.414       0   -5.80   -1.00
  AGAL003.141+00.427       0   92.73   -1.00
  AGAL003.151+00.396       0   82.95    0.74
  AGAL003.158+00.391       0   46.35   -1.00
  AGAL003.163+00.559       0   25.66    1.14
  AGAL003.176+00.516       0   14.42    0.10
  AGAL003.179-00.114       1 -999.00   -1.00
  AGAL003.179+00.542       0   22.42   -1.00
  AGAL003.199+00.639       0   32.55   -1.00
  AGAL003.203+00.502       0   31.01   -1.00
  AGAL003.204-00.106       0    5.63   -1.00
  AGAL003.206+00.471       0   16.63   -1.00
  AGAL003.208-00.199       1 -999.00   -1.00
  AGAL003.213+00.646       0   31.99   -1.00
  AGAL003.219+00.264       1 -999.00   -1.00
  AGAL003.219+00.619       0   28.63   -1.00
  AGAL003.228+00.491       0   30.78   -1.00
  AGAL003.233+00.264       0   40.51   -1.00
  AGAL003.241+00.634       0   41.35    3.19
  AGAL003.246+00.482       0   26.42   -1.00
  AGAL003.249-00.086       0    1.19    0.32
  AGAL003.256-00.111       0    5.14   -1.00
  AGAL003.256+00.412       0   64.29    0.81
  AGAL003.264+00.482       0   22.44    2.42
  AGAL003.269+00.149       0   68.83    2.10
  AGAL003.271-00.116       1 -999.00   -1.00
  AGAL003.271+00.444       0   22.37    1.86
  AGAL003.274+00.581       0   48.93    1.86
  AGAL003.279+00.419       0   44.51   -1.00
  AGAL003.283+00.591       0   44.32    2.22
  AGAL003.288+00.454       0   27.72    0.49
  AGAL003.289+00.574       0   46.63   -1.00
  AGAL003.306+00.346       0   87.99   -1.00
  AGAL003.309+00.334       0   83.54   -1.00
  AGAL003.311-00.397       0    5.64    0.21
  AGAL003.326+00.441       0   23.01   -1.00
  AGAL003.338+00.419       0   33.13    0.48
  AGAL003.341-00.089       0   12.76    0.19
  AGAL003.341-00.097       1 -999.00   -1.00
  AGAL003.348+00.436       0   31.58    1.75
  AGAL003.351-00.077       0   10.31   -1.00
  AGAL003.351+00.399       0   28.87    0.46
  AGAL003.386+00.307       0   87.90   -1.00
  AGAL003.406+00.866       0    1.18    0.05
  AGAL003.409+00.881       0    0.79    0.05
  AGAL003.416-00.354       0  -25.45    2.46
  AGAL003.434-00.572       0    2.31    0.84
  AGAL003.439-00.349       0  -24.06    3.49
  AGAL003.441+00.006       0    5.79    0.86
  AGAL003.458-00.002       0    6.08    0.67
  AGAL003.473-00.224       0  -21.48    0.57
  AGAL003.501-00.201       0  -21.16    0.22
  AGAL003.549-00.802       0   21.54    0.62
  AGAL003.651-00.127       0    6.54   -1.00
  AGAL003.661-00.114       0    3.82   -1.00
  AGAL003.683-00.096       0    7.53    0.12
  AGAL003.698-00.102       0    6.39   -1.00
  AGAL003.744+00.019       0    7.54    0.05
  AGAL003.754+00.014       1 -999.00   -1.00
  AGAL003.911+00.001       0   15.39    0.82
  AGAL003.933-00.004       0   16.05    0.15
  AGAL003.998+00.327       0   12.28    0.28
  AGAL004.003+00.339       0   12.27    1.44
  AGAL004.088+00.022       0    5.26    0.21
  AGAL004.091+00.047       0  -27.02   -1.00
  AGAL004.136-00.019       0    6.49    0.65
  AGAL004.359+00.094       1 -999.00   -1.00
  AGAL004.384+00.079       0    6.23    2.69
  AGAL004.386-00.004       0   17.08    0.53
  AGAL004.408+00.099       0    8.50   -1.00
  AGAL004.416+00.127       0   -1.00   -1.00
  AGAL004.434+00.129       0    2.96    1.37
  AGAL004.494-00.781       0  193.36   -1.00
  AGAL004.498-00.811       0  184.86   -1.00
  AGAL004.502+00.419       0   13.62    0.13
  AGAL004.514-00.806       0  190.70    0.99
  AGAL004.627-00.666       0    9.33    0.63
  AGAL004.681+00.006       1 -999.00   -1.00
  AGAL004.681+00.277       0    3.92    0.65
  AGAL004.719+00.002       1 -999.00   -1.00
  AGAL004.724-00.769       0  204.26   -1.00
  AGAL004.727-00.431       0    5.41    0.10
  AGAL004.747-00.762       0  210.09   -1.00
  AGAL004.762+00.086       0   13.35    0.43
  AGAL004.779+00.071       0   13.76    0.28
  AGAL004.781+00.041       0   14.32    0.43
  AGAL004.786+00.076       0   13.99    0.27
  AGAL004.791+00.059       0   13.54    0.11
  AGAL004.817+00.229       0   14.30    0.93
  AGAL004.827+00.231       0   14.15    0.86
  AGAL004.876-00.152       0    9.73    0.21
  AGAL004.887-00.171       0    9.69    0.24
  AGAL004.894-00.126       0    9.42    0.11
  AGAL005.076-00.091       0   45.62    0.30
  AGAL005.094-00.104       0   45.94    0.05
  AGAL005.352+00.116       0   10.98    0.14
  AGAL005.354+00.094       0   11.42    0.04
  AGAL005.359+00.014       0   12.43    0.16
  AGAL005.387+00.187       0   11.13    0.25
  AGAL005.397+00.194       0   11.66    0.05
  AGAL005.474-00.244       0   26.13    0.55
  AGAL005.509-00.246       0   21.58    0.26
  AGAL005.617-00.082       0  -26.13    0.41
  AGAL005.637+00.237       0    8.79    0.53
  AGAL005.834-00.397       0    7.69    0.09
  AGAL005.834-00.514       0   15.99    0.15
  AGAL005.846-00.374       0    7.00    0.04
  AGAL005.852-00.239       0   17.47    0.06
  AGAL005.852-00.399       0    8.12    0.48
  AGAL005.884-00.392       0    8.87    2.45
  AGAL005.889-00.456       0    9.26    0.87
  AGAL005.891-00.942       0   15.02    0.23
  AGAL005.892-00.321       0   10.46    0.14
  AGAL005.897-00.444       0    9.00    0.95
  AGAL005.899-00.429       0    6.75    0.43
  AGAL005.909-00.544       0   15.53    0.19
  AGAL005.912-00.950       0   13.81    0.12
  AGAL005.917-00.311       0    9.72    0.19
  AGAL006.048+00.316       0   11.13   -1.00
  AGAL006.081-00.116       0    6.54    0.75
  AGAL006.098-00.091       0    9.82    0.11
  AGAL006.111-00.639       0   16.48    0.21
  AGAL006.119-00.649       0   16.92    0.46
  AGAL006.124-00.629       0   16.03    0.08
  AGAL006.188-00.357       0  -33.45    0.26
  AGAL006.191-00.116       0   11.40    0.66
  AGAL006.213-00.139       1 -999.00   -1.00
  AGAL006.213-00.592       0   18.60    0.45
  AGAL006.216-00.609       0   18.21    0.50
  AGAL006.218-00.584       0   19.11    0.57
  AGAL006.221-00.047       0   19.39   -1.00
  AGAL006.221-00.116       0   13.52   -1.00
  AGAL006.246-00.122       0   14.38    0.19
  AGAL006.368-00.051       0  141.61    0.17
  AGAL006.404-00.039       0  141.50    0.15
  AGAL006.489-00.434       0   20.72    2.43
  AGAL006.498-00.322       0   -0.01   -1.00
  AGAL006.498-00.429       0   16.90    1.61
  AGAL006.544-00.287       0    7.06    1.29
  AGAL006.551-00.097       0   14.35    0.91
  AGAL006.556-00.259       0   15.22    0.82
  AGAL006.564-00.311       0    7.79    0.57
  AGAL006.564-00.319       0    8.06    0.63
  AGAL006.581-00.306       0    6.82    0.45
  AGAL006.786-00.017       0    5.43    0.37
  AGAL006.796-00.257       0   21.44    0.19
  AGAL006.913-00.264       0   23.03    0.47
  AGAL006.916-00.224       0   22.57    2.55
  AGAL006.921-00.252       0   22.81    0.67
  AGAL006.966-00.284       0    8.06    2.05
  AGAL006.979-00.289       0    7.80    0.05
  AGAL007.009-00.254       0    3.42    0.44
  AGAL007.013-00.152       0   10.37    0.23
  AGAL007.029-00.264       0    3.64    0.18
  AGAL007.036-00.157       0   10.16    0.16
  AGAL007.166+00.131       0   80.60    0.34
  AGAL007.178+00.086       0    5.80    0.49
  AGAL007.234-00.101       0   18.58    0.49
  AGAL007.251-00.079       0   46.34   -1.00
  AGAL007.268-00.529       0   17.99    0.32
  AGAL007.276-00.166       0   23.04    0.07
  AGAL007.288-00.531       0   19.66    0.19
  AGAL007.333-00.016       0   20.21    0.18
  AGAL007.333-00.567       0   20.60    0.19
  AGAL007.346-00.001       0   20.08    0.10
  AGAL007.401-00.157       0   24.39    0.04
  AGAL007.436-00.281       0   27.31    0.01
  AGAL007.454-00.276       0   27.15    0.22
  AGAL007.462-00.286       0   26.88    0.28
  AGAL007.471+00.059       0  -13.91   -1.00
  AGAL007.506+00.401       0    8.52    0.08
  AGAL007.601-00.139       0  154.08    0.49
  AGAL007.632-00.109       0  153.98    0.11
  AGAL007.636-00.192       0  152.53    0.06
  AGAL007.647-00.164       0  154.22    0.29
  AGAL007.976-00.357       0  134.76    2.48
  AGAL007.992-00.267       0   39.53    0.13
  AGAL008.006-00.136       0   40.16    0.03
  AGAL008.019-00.171       0   41.04    0.17
  AGAL008.049-00.242       0   39.65    0.08
  AGAL008.111+00.259       0   19.65    0.68
  AGAL008.124+00.256       0   20.09    0.40
  AGAL008.141+00.222       0   19.55    0.64
  AGAL008.181-00.012       1 -999.00   -1.00
  AGAL008.206+00.191       0   18.63    0.61
  AGAL008.247+00.181       0   19.04    0.63
  AGAL008.264+00.167       0   18.57    0.18
  AGAL008.276+00.512       0   19.15    0.34
  AGAL008.282+00.166       0   18.75    0.07
  AGAL008.351-00.317       0   38.97    0.07
  AGAL008.359-00.306       0   38.66    0.18
  AGAL008.377-00.347       0   36.46    2.18
  AGAL008.384-00.267       0   37.07    0.10
  AGAL008.401-00.289       0   36.87    0.15
  AGAL008.407-00.299       0   36.53    0.37
  AGAL008.411-00.347       0   37.53    1.63
  AGAL008.424-00.274       0   36.49    0.30
  AGAL008.446-00.612       0   17.36    0.29
  AGAL008.459-00.222       0   37.58    0.28
  AGAL008.467-00.267       0   35.85    0.09
  AGAL008.472-00.627       0   17.61    0.14
  AGAL008.486-00.979       0   15.44    0.34
  AGAL008.487-00.284       0   36.92    0.16
  AGAL008.504-00.982       0   15.17    1.64
  AGAL008.509-00.281       0   36.61    0.22
  AGAL008.547-00.682       0   16.87    0.32
  AGAL008.562-00.684       0   16.63    0.19
  AGAL008.642-00.397       0   38.85    0.17
  AGAL008.671-00.356       0   34.04    0.65
  AGAL008.671-00.407       0   38.05    0.30
  AGAL008.672-00.682       0   17.21    0.56
  AGAL008.684-00.367       0   35.99    1.38
  AGAL008.691-00.401       0   38.81    0.27
  AGAL008.706-00.414       0   38.64    0.22
  AGAL008.711-00.367       0   37.77    0.23
  AGAL008.722-00.402       0   38.93    0.10
  AGAL008.726-00.396       0   39.34    0.04
  AGAL008.734-00.402       0   39.63    0.05
  AGAL008.736-00.362       0   39.17    0.37
  AGAL008.739-00.726       0   16.91    0.11
  AGAL008.831-00.027       0    1.14    1.61
  AGAL008.872-00.492       0   20.23   -1.00
  AGAL008.939-00.609       0   21.28    0.42
  AGAL008.954-00.532       0   20.58   -1.00
  AGAL008.965-00.536       1 -999.00   -1.00
  AGAL009.038-00.521       0   37.25    0.48
  AGAL009.213-00.202       0   42.19    0.15
  AGAL009.219+00.166       0   16.86    0.12
  AGAL009.284-00.147       0   41.01    0.58
  AGAL009.406-00.089       0   49.51    0.32
  AGAL009.423-00.704       0   19.52    0.44
  AGAL009.578-00.659       0   27.00    0.17
  AGAL009.608-00.704       0   25.51    0.57
  AGAL009.621+00.194       0    4.97    0.43
  AGAL009.628-00.709       0   27.31    0.49
  AGAL009.774-00.707       0   25.53    0.41
  AGAL009.796-00.707       0   26.51    0.14
  AGAL009.828-00.727       0   26.42    0.29
  AGAL009.858-00.102       0    4.39   -1.00
  AGAL009.863-00.099       0    4.09    0.34
  AGAL009.879-00.111       0   17.55   -1.00
  AGAL009.879-00.751       0   28.67    0.35
  AGAL009.924-00.747       0   29.41    0.18
  AGAL009.966-00.021       0   48.68    0.07
  AGAL009.986-00.027       0   48.83    0.24
  AGAL009.999-00.034       0   49.13    0.50
  AGAL010.004-00.354       0   12.31   -1.00
